k,run,time,balanced
5,1,5369,YES
5,2,5392,NO
5,3,5713,NO
5,4,6554,YES
5,5,5655,YES
5,6,4481,YES
5,7,6371,NO
5,8,6871,YES
5,9,7280,YES
5,10,7133,YES
10,1,20809,NO
10,2,24533,NO
10,3,20517,NO
10,4,19965,NO
10,5,27274,YES
10,6,29308,NO
10,7,25985,YES
10,8,21949,YES
10,9,27879,NO
10,10,27040,YES
100,1,756981,NO
100,2,616386,YES
100,3,753780,YES
100,4,1000000,NO
100,5,450382,YES
100,6,633577,NO
100,7,859066,YES
100,8,867585,YES
100,9,906269,YES
100,10,789630,YES

k,average_time
,0.00
k,0.00
5,6081.90
10,24525.90
100,763365.60
